HP_Class,HP_Model,Retailer,HP_Rating,Scraping_Date,Poor_rating_flag,Untwist_flag,Delist_flag,url,Mail send needed or not
Malbec Base,HP OfficeJet Pro 8025e,Amazon,4.0,29-11-2024,False,False,True,https://www.amazon.com/product-reviews/B08WCDLKFK,True
Manhattan Hi,HP OfficeJet Pro 9025e,Amazon,4.1,29-11-2024,False,True,False,https://www.amazon.com/product-reviews/B08WC8VD8G,True
